Source_Account,Destination_Account,Amount_IDR,Timestamp
7391160349,2982924364,"Rp 58.956.471",2026-05-25T10:00:00Z
2690281053,4305144846,"Rp 18.045.367",2026-05-25T10:00:00Z
4939691009,9202903413,"Rp 46.067.776",2026-05-25T10:00:00Z
3706046128,4416556288,"Rp 30.597.272",2026-05-25T10:00:00Z
1310158201,6594729240,"Rp 12.430.356",2026-05-25T10:00:00Z
4733676318,1439133523,"Rp 33.891.925",2026-05-25T10:00:00Z
4332004621,3325070909,"Rp 20.214.908",2026-05-25T10:00:00Z
1431012872,9252809213,"Rp 26.253.121",2026-05-25T10:00:00Z
1373459353,1089054370,"Rp 46.040.779",2026-05-25T10:00:00Z
3180714506,1661792347,"Rp 10.346.088",2026-05-25T10:00:00Z
4564950180,6243557563,"Rp 13.362.823",2026-05-25T10:00:00Z
1482784989,2167870876,"Rp 41.456.490",2026-05-25T10:00:00Z
1114378130,1464838661,"Rp 11.282.466",2026-05-25T10:00:00Z
4429470844,1307854849,"Rp 56.298.294",2026-05-25T10:00:00Z
5416519604,7848106001,"Rp 51.546.539",2026-05-25T10:00:00Z
9136558474,5655415160,"Rp 12.875.171",2026-05-25T10:00:00Z
7046835030,5100587219,"Rp 38.399.002",2026-05-25T10:00:00Z
6498905621,5798298630,"Rp 31.422.461",2026-05-25T10:00:00Z
4205736861,8296504470,"Rp 35.528.577",2026-05-25T10:00:00Z
4587798159,1430334155,"Rp 55.916.923",2026-05-25T10:00:00Z
6404451913,9906397048,"Rp 53.229.864",2026-05-25T10:00:00Z
3742798313,5375011007,"Rp 54.275.483",2026-05-25T10:00:00Z
9836124830,5180530998,"Rp 48.018.726",2026-05-25T10:00:00Z
7399184429,4995650822,"Rp 34.179.029",2026-05-25T10:00:00Z
8956577819,8275814583,"Rp 40.083.205",2026-05-25T10:00:00Z
5027875674,4337359672,"Rp 35.076.089",2026-05-25T10:00:00Z
9780772902,2691354762,"Rp 19.326.702",2026-05-25T10:00:00Z
5067731788,6421134383,"Rp 38.264.953",2026-05-25T10:00:00Z
1899027222,2500004652,"Rp 39.829.856",2026-05-25T10:00:00Z
7189777983,5991021926,"Rp 42.555.988",2026-05-25T10:00:00Z
9126668451,1823339886,"Rp 39.188.636",2026-05-25T10:00:00Z
9028466227,2752414565,"Rp 14.506.259",2026-05-25T10:00:00Z
4180292967,3685946513,"Rp 38.105.940",2026-05-25T10:00:00Z
1806653357,7281264204,"Rp 20.694.760",2026-05-25T10:00:00Z
4892619050,8468076215,"Rp 19.405.091",2026-05-25T10:00:00Z
4602752200,6199067523,"Rp 53.325.158",2026-05-25T10:00:00Z
1808440115,6274039156,"Rp 24.114.461",2026-05-25T10:00:00Z
1062510415,2391045493,"Rp 33.803.186",2026-05-25T10:00:00Z
6150267707,5249341338,"Rp 52.820.882",2026-05-25T10:00:00Z
1520626768,6676704978,"Rp 17.773.475",2026-05-25T10:00:00Z
6416452362,8174835011,"Rp 45.962.653",2026-05-25T10:00:00Z
1944325760,8327415744,"Rp 44.679.114",2026-05-25T10:00:00Z
